code	name
slmcorporation	SLM Corporation
smithinternational	Smith International Inc
smithfieldfoods	Smithfield Foods Inc
smurfitstonecontainer	Smurfit-Stone Container Corp
snaponinc	Snap-On Inc
solectroncorp	Solectron Corp
solutiainc	Solutia Inc
sonicautomotive	Sonic Automotive Inc.
sonocoproducts	Sonoco Products Co.
southerncompany	Southern Company
southernunion	Southern Union Company
southtrustcorp	SouthTrust Corp.
southwestairlines	Southwest Airlines Co
southwestgas	Southwest Gas Corp
sovereignbancorp	Sovereign Bancorp Inc.
spartanstores	Spartan Stores Inc
spherioncorp	Spherion Corp
sportsauthority	Sports Authority Inc
sprintcorp	Sprint Corp.
spxcorp	SPX Corp
stjude	St. Jude Medical Inc
stpaul	St. Paul Cos.
staffleasing	Staff Leasing Inc.
stancorpfinancial	StanCorp Financial Group Inc
standardpacific	Standard Pacific Corp.
stanleyworks	Stanley Works
staplesinc	Staples Inc
starbuckscorp	Starbucks Corp
starwoodhotels	Starwood Hotels & Resorts Worldwide Inc
statestreet	State Street Corp.
staterbros	Stater Bros. Holdings Inc.
steelcaseinc	Steelcase Inc
steinmart	Stein Mart Inc
stewart	Stewart & Stevenson Services Inc
stewartinformation	Stewart Information Services Corp
stilwellfinancial	Stilwell Financial Inc
storagetechnology	Storage Technology Corporation
strykercorp	Stryker Corp
sunhealthcare	Sun Healthcare Group Inc.
sunmicrosystems	Sun Microsystems Inc.
sungarddata	SunGard Data Systems Inc.
sunocoinc	Sunoco Inc.
suntrustbanks	SunTrust Banks Inc
supervaluinc	Supervalu Inc
swifttransportation	Swift Transportation, Co., Inc
symboltechnologies	Symbol Technologies Inc
synovusfinancial	Synovus Financial Corp.
syscocorp	Sysco Corp
systemaxinc	Systemax Inc.
targetcorp	Target Corp.
techdata	Tech Data Corporation
tecoenergy	TECO Energy Inc
tecumsehproducts	Tecumseh Products Company
tektronixinc	Tektronix Inc
teleflexincorporated	Teleflex Incorporated
telephone	Telephone & Data Systems Inc
tellabsinc	Tellabs Inc.
templeinlandinc	Temple-Inland Inc
tenethealthcare	Tenet Healthcare Corporation
tennecoautomotive	Tenneco Automotive Inc.
teradyneinc	Teradyne Inc
terexcorp	Terex Corp
tesoropetroleum	Tesoro Petroleum Corp.
texasindustries	Texas Industries Inc.
texasinstruments	Texas Instruments Incorporated
textroninc	Textron Inc
thermoelectron	Thermo Electron Corporation
thomas	Thomas & Betts Corporation
tiffany	Tiffany & Co
timkencompany	Timken Company
tjxcompanies	TJX Companies Inc
tmpworldwide	TMP Worldwide Inc
tollbrothers	Toll Brothers Inc
torchmarkcorporation	Torchmark Corporation
torocompany	Toro Company
towerautomotive	Tower Automotive Inc.
toysr	Toys 'R' Us Inc
transworld	Trans World Entertainment Corp.
transmontaigneinc	TransMontaigne Inc
transoceaninc	Transocean Inc
travelcentersof	TravelCenters of America Inc.
triadhospitals	Triad Hospitals Inc
tribunecompany	Tribune Company
trigonhealthcare	Trigon Healthcare Inc.
trinityindustries	Trinity Industries Inc
trumphotels	Trump Hotels & Casino Resorts Inc.
truservcorporation	TruServ Corporation
trwinc	TRW Inc
txucorp	TXU Corp
tysonfoods	Tyson Foods Inc
usbancorp	U.S. Bancorp
usindustries	U.S. Industries Inc.
ualcorporation	UAL Corporation
ugicorporation	UGI Corporation
unifiedwestern	Unified Western Grocers Inc
unionpacific	Union Pacific Corporation
unionplanters	Union Planters Corp
unisourceenergy	Unisource Energy Corp
unisyscorporation	Unisys Corporation
unitedauto	United Auto Group Inc
uniteddefense	United Defense Industries Inc.
unitedparcel	United Parcel Service Inc
unitedrentals	United Rentals Inc
unitedstationers	United Stationers Inc
unitedtechnologies	United Technologies Corporation
unitedhealthgroup	UnitedHealth Group Incorporated
unitrininc	Unitrin Inc
universalcorporation	Universal Corporation
universalforest	Universal Forest Products Inc
universalhealth	Universal Health Services Inc
unocalcorporation	Unocal Corporation
unovainc	Unova Inc
unumprovidentcorporation	UnumProvident Corporation
urscorporation	URS Corporation
usairways	US Airways Group Inc
usoncology	US Oncology Inc
usainteractive	USA Interactive
usfreighwayscorporation	USFreighways Corporation
usgcorporation	USG Corporation
ustinc	UST Inc
valeroenergy	Valero Energy Corporation
valsparcorporation	Valspar Corporation
valuecity	Value City Department Stores Inc
varcointernational	Varco International Inc
vectrencorporation	Vectren Corporation
veritassoftware	Veritas Software Corporation
verizoncommunications	Verizon Communications Inc
vfcorporation	VF Corporation
viacominc	Viacom Inc
viadcorp	Viad Corp
viasystemsgroup	Viasystems Group Inc
vishayintertechnology	Vishay Intertechnology Inc
visteoncorporation	Visteon Corporation
voltinformation	Volt Information Sciences Inc
vulcanmaterials	Vulcan Materials Company
wrberkley	W.R. Berkley Corporation
wrgrace	W.R. Grace & Co
wwgrainger	W.W. Grainger Inc
wachoviacorporation	Wachovia Corporation
wakenhutcorporation	Wakenhut Corporation
walgreenco	Walgreen Co
wallacecomputer	Wallace Computer Services Inc
walmartstores	Wal-Mart Stores Inc
waltdisney	Walt Disney Co
walterindustries	Walter Industries Inc
washingtonmutual	Washington Mutual Inc
washingtonpost	Washington Post Co.
wastemanagement	Waste Management Inc
watscoinc	Watsco Inc
weatherfordinternational	Weatherford International Inc
weismarkets	Weis Markets Inc.
wellpointhealth	Wellpoint Health Networks Inc
wellsfargo	Wells Fargo & Company
wendysinternational	Wendy's International Inc
wernerenterprises	Werner Enterprises Inc
wescointernational	WESCO International Inc
westerndigital	Western Digital Inc
westerngas	Western Gas Resources Inc
westpointstevens	WestPoint Stevens Inc
weyerhausercompany	Weyerhauser Company
wglholdings	WGL Holdings Inc
whirlpoolcorporation	Whirlpool Corporation
wholefoods	Whole Foods Market Inc
willametteindustries	Willamette Industries Inc.
williamscompanies	Williams Companies Inc
williamssonoma	Williams Sonoma Inc
winndixie	Winn Dixie Stores Inc
wisconsinenergy	Wisconsin Energy Corporation
wmwrigley	Wm Wrigley Jr Company
worldfuel	World Fuel Services Corporation
worldcominc	WorldCom Inc
worthingtonindustries	Worthington Industries Inc
wpsresources	WPS Resources Corporation
wyeth	Wyeth
wyndhaminternational	Wyndham International Inc
xcelenergy	Xcel Energy Inc
xeroxcorp	Xerox Corp
xilinxinc	Xilinx Inc
xocommunications	XO Communications Inc
yellowcorporation	Yellow Corporation
yorkinternational	York International Corp
yumbrands	Yum Brands Inc.
zalecorporation	Zale Corporation
zionsbancorporation	Zions Bancorporation
